BOS

F/C	46	Baynes, Aron	6 ft 10 in (2.08 m)	260 lb (118 kg)	1986–12–09	Washington State
G	26	Bird, Jabari	6 ft 6 in (1.98 m)	198 lb (90 kg)	1994–07–03	California
G	7	Brown, Jaylen	6 ft 7 in (2.01 m)	220 lb (100 kg)	1996–10–24	California
G/F	50	Dozier, P. J. (TW)	6 ft 6 in (1.98 m)	205 lb (93 kg)	1996–10–25	South Carolina
F	20	Hayward, Gordon	6 ft 8 in (2.03 m)	225 lb (102 kg)	1990–03–23	Butler
F/C	42	Horford, Al	6 ft 10 in (2.08 m)	245 lb (111 kg)	1986–06–03	Florida
G	11	Irving, Kyrie	6 ft 3 in (1.91 m)	193 lb (88 kg)	1992–03–23	Duke
G	45	Lemon, Walt (TW)	6 ft 3 in (1.91 m)	180 lb (82 kg)	1992–07–26	Bradley
F	13	Morris, Marcus	6 ft 9 in (2.06 m)	235 lb (107 kg)	1989–09–02	Kansas
F	37	Ojeleye, Semi	6 ft 7 in (2.01 m)	241 lb (109 kg)	1994–12–05	SMU
G	12	Rozier, Terry	6 ft 1 in (1.85 m)	190 lb (86 kg)	1994–03–17	Louisville
G	36	Smart, Marcus	6 ft 4 in (1.93 m)	220 lb (100 kg)	1994–03–06	Oklahoma State
F	0	Tatum, Jayson	6 ft 8 in (2.03 m)	208 lb (94 kg)	1998–03–03	Duke
F	27	Theis, Daniel	6 ft 8 in (2.03 m)	243 lb (110 kg)	1992–04–04	Germany
G	9	Wanamaker, Brad (GL)	6 ft 4 in (1.93 m)	210 lb (95 kg)	1989–07–25	Pittsburgh
F/C	44	Williams, Robert (GL)	6 ft 10 in (2.08 m)	240 lb (109 kg)	1997–10–17	Texas A&M
F	30	Yabusele, Guerschon (GL)	6 ft 8 in (2.03 m)	260 lb (118 kg)	1995–12–17	France

BKY
C	31	Allen, Jarrett	6 ft 11 in (2.11 m)	237 lb (108 kg)	1998–04–21	Texas
F	9	Carroll, DeMarre	6 ft 8 in (2.03 m)	215 lb (98 kg)	1986–07–27	Missouri
G/F	33	Crabbe, Allen	6 ft 6 in (1.98 m)	212 lb (96 kg)	1992–04–09	California
C	17	Davis, Ed	6 ft 10 in (2.08 m)	225 lb (102 kg)	1989–06–05	North Carolina
G	8	Dinwiddie, Spencer	6 ft 6 in (1.98 m)	210 lb (95 kg)	1993–04–06	Colorado
F	6	Dudley, Jared	6 ft 7 in (2.01 m)	237 lb (108 kg)	1985–07–10	Boston College
F/C	35	Faried, Kenneth	6 ft 8 in (2.03 m)	220 lb (100 kg)	1989–11–19	Morehead State
F	21	Graham, Treveon Injured	6 ft 5 in (1.96 m)	225 lb (102 kg)	1993–10–28	Virginia Commonwealth
G/F	12	Harris, Joe	6 ft 6 in (1.98 m)	219 lb (99 kg)	1991–09–07	Virginia
F	24	Hollis-Jefferson, Rondae	6 ft 7 in (2.01 m)	217 lb (98 kg)	1995–01–03	Arizona
F	00	Kurucs, Rodions	6 ft 9 in (2.06 m)	210 lb (95 kg)	1998–02–05	Latvia
G	22	LeVert, Caris Injured	6 ft 7 in (2.01 m)	204 lb (93 kg)	1994–08–25	Michigan
G/F	30	Musa, Džanan	6 ft 9 in (2.06 m)	208 lb (94 kg)	1999–05–08	Bosnia and Herzegovina
G	13	Napier, Shabazz	6 ft 1 in (1.85 m)	180 lb (82 kg)	1991–07–14	Connecticut
G/F	10	Pinson, Theo (TW)	6 ft 6 in (1.98 m)	218 lb (99 kg)	1995–11–05	North Carolina
G	1	Russell, D'Angelo	6 ft 5 in (1.96 m)	198 lb (90 kg)	1996–02–23	Ohio State
F/C	15	Williams, Alan (TW)	6 ft 8 in (2.03 m)	265 lb (120 kg)	1993–01–28	UC Santa Barbara

NYK
G	31	Baker, Ron	6 ft 4 in (1.93 m)	220 lb (100 kg)	1993–03–30	Wichita State
G	23	Burke, Trey	6 ft 1 in (1.85 m)	175 lb (79 kg)	1992–11–12	Michigan
G	21	Dotson, Damyean	6 ft 6 in (1.98 m)	210 lb (95 kg)	1994–05–06	Houston
G	3	Hardaway Jr., Tim	6 ft 6 in (1.98 m)	205 lb (93 kg)	1992–03–16	Michigan
F	8	Hezonja, Mario	6 ft 8 in (2.03 m)	225 lb (102 kg)	1995–02–25	Croatia
F	4	Hicks, Isaiah (TW)	6 ft 9 in (2.06 m)	230 lb (104 kg)	1994–07–24	North Carolina
C	00	Kanter, Enes	6 ft 11 in (2.11 m)	250 lb (113 kg)	1992–05–20	Turkey
F	20	Knox, Kevin	6 ft 9 in (2.06 m)	215 lb (98 kg)	1999–08–11	Kentucky
F/C	2	Kornet, Luke	7 ft 1 in (2.16 m)	250 lb (113 kg)	1995–07–15	Vanderbilt
G	5	Lee, Courtney Injured	6 ft 5 in (1.96 m)	215 lb (98 kg)	1985–10–03	Western Kentucky
G	1	Mudiay, Emmanuel	6 ft 5 in (1.96 m)	200 lb (91 kg)	1996–03–05	Prime Prep Academy (TX)
G	11	Ntilikina, Frank	6 ft 6 in (1.98 m)	200 lb (91 kg)	1998–07–28	France
F/C	6	Porziņģis, Kristaps Injured	7 ft 3 in (2.21 m)	240 lb (109 kg)	1995–08–02	Latvia
C	26	Robinson, Mitchell	7 ft 1 in (2.16 m)	240 lb (109 kg)	1998–04–01	Chalmette HS (LS)
F	42	Thomas, Lance Injured	6 ft 8 in (2.03 m)	240 lb (109 kg)	1988–04–24	Duke
G	14	Trier, Allonzo (TW)	6 ft 5 in (1.96 m)	200 lb (91 kg)	1996–01–17	Arizona
F	32	Vonleh, Noah	6 ft 9 in (2.06 m)	250 lb (113 kg)	1995–08–24	Indiana

PHI
F	43	Bolden, Jonah	6 ft 10 in (2.08 m)	220 lb (100 kg)	1996–01–02	UCLA
G/F	23	Butler, Jimmy	6 ft 8 in (2.03 m)	232 lb (105 kg)	1989–09–14	Marquette
F	22	Chandler, Wilson	6 ft 9 in (2.06 m)	225 lb (102 kg)	1987–05–10	DePaul
C	21	Embiid, Joel	7 ft 0 in (2.13 m)	250 lb (113 kg)	1994–03–16	Kansas
G	20	Fultz, Markelle Injured	6 ft 4 in (1.93 m)	200 lb (91 kg)	1998–05–29	Washington
G	11	Jackson, Demetrius (TW)	6 ft 1 in (1.85 m)	201 lb (91 kg)	1994–09–07	Notre Dame
F/C	5	Johnson, Amir	6 ft 9 in (2.06 m)	240 lb (109 kg)	1987–05–01	Westchester HS (CA)
G/F	30	Korkmaz, Furkan	6 ft 7 in (2.01 m)	190 lb (86 kg)	1997–07–24	Turkey
G	12	McConnell, T. J.	6 ft 2 in (1.88 m)	190 lb (86 kg)	1992–03–25	Arizona
G	18	Milton, Shake (TW)	6 ft 6 in (1.98 m)	207 lb (94 kg)	1996–09–26	SMU
C	31	Muscala, Mike	6 ft 11 in (2.11 m)	240 lb (109 kg)	1991–07–01	Bucknell
C	0	Patton, Justin Injured	7 ft 0 in (2.13 m)	241 lb (109 kg)	1997–06–14	Creighton
G	17	Redick, JJ	6 ft 4 in (1.93 m)	200 lb (91 kg)	1984–06–24	Duke
G	1	Shamet, Landry	6 ft 5 in (1.96 m)	188 lb (85 kg)	1997–03–13	Wichita State
G/F	25	Simmons, Ben	6 ft 10 in (2.08 m)	230 lb (104 kg)	1996–07–20	LSU
G	8	Smith, Zhaire Injured	6 ft 4 in (1.93 m)	199 lb (90 kg)	1999–06–04	Texas Tech

TOR
F	3	Anunoby, OG	6 ft 8 in (2.03 m)	235 lb (107 kg)	1997–07–17	Indiana
F	25	Boucher, Chris (TW)	6 ft 10 in (2.08 m)	200 lb (91 kg)	1993–01–11	Oregon
G	4	Brown, Lorenzo	6 ft 5 in (1.96 m)	189 lb (86 kg)	1990–08–26	North Carolina State
G/F	14	Green, Danny	6 ft 6 in (1.98 m)	215 lb (98 kg)	1987–06–22	North Carolina
F/C	9	Ibaka, Serge	6 ft 10 in (2.08 m)	235 lb (107 kg)	1989–09–18	Republic of the Congo
F	2	Leonard, Kawhi	6 ft 7 in (2.01 m)	230 lb (104 kg)	1991–06–29	San Diego State
G	7	Lowry, Kyle	6 ft 0 in (1.83 m)	205 lb (93 kg)	1986–03–25	Villanova
G	8	Loyd, Jordan (TW)	6 ft 4 in (1.93 m)	210 lb (95 kg)	1993–07–27	Indianapolis
G/F	0	Miles, C. J.	6 ft 6 in (1.98 m)	225 lb (102 kg)	1987–03–18	Skyline HS (TX)
F/C	15	Monroe, Greg	6 ft 11 in (2.11 m)	265 lb (120 kg)	1990–06–04	Georgetown
G/F	24	Powell, Norman	6 ft 4 in (1.93 m)	215 lb (98 kg)	1993–05–25	UCLA
G	22	Richardson, Malachi	6 ft 6 in (1.98 m)	205 lb (93 kg)	1996–01–05	Syracuse
F	43	Siakam, Pascal	6 ft 9 in (2.06 m)	230 lb (104 kg)	1994–04–02	New Mexico State
C	17	Valančiūnas, Jonas	7 ft 0 in (2.13 m)	255 lb (116 kg)	1992–05–06	Lithuania
G	23	VanVleet, Fred	6 ft 0 in (1.83 m)	195 lb (88 kg)	1994–02–25	Wichita State
G	55	Wright, Delon	6 ft 5 in (1.96 m)	190 lb (86 kg)	1992–04–26	Utah
Head coach
Nick Nurse
Assistant coach(es)
Nate Bjorkgren
Adrian Griffin
Phil Handy
Eric Khoury
Alex McKechnie
Patrick Mutombo
Jim Sann
Sergio Scariolo
Legend
(C) Team captain
(DP) Unsigned draft pick
(FA) Free agent
(S) Suspended
(GL) On assignment to G League affiliate
(TW) Two-way affiliate player
Injured Injured
Roster 
