TEAM,PG,SG,SF,PF,C
Atlanta,T. Young,K. Bazemore,T. Prince,J. Collins,D. Dedmon
Boston,K. Irving,J. Brown,J. Tatum,A. Baynes,A. Horford
Brooklyn,D. Russell,C. LeVert,J. Harris,J. Dudley,J. Allen
Charlotte,K. Walker,J. Lamb,N. Batum,M. Williams,C. Zeller
Chicago,C. Payne,Z. LaVine,J. Holiday,J. Parker,W. Carter Jr.
Cleveland,C. Sexton,R. Hood,C. Osman,L. Nance Jr.,T. Thompson
Dallas,D. Smith Jr.,L. Doncic,W. Matthews,H. Barnes,D. Jordan
Denver,J. Murray,G. Harris,T. Craig,P. Millsap,N. Jokic
Detroit,R. Jackson,R. Bullock,S. Johnson,B. Griffin,A. Drummond
Golden State,S. Curry,K. Thompson,K. Durant,D. Green,D. Cousins
Houston,C. Paul,J. Harden,J. Ennis III,P. Tucker,C. Capela
Indiana,D. Collison,V. Oladipo,B. Bogdanovic,T. Young,M. Turner
LA Clippers,P. Beverley,S. Gilgeous-Alexander,D. Gallinari,T. Harris,B. Marjanovic
LA Lakers,L. Ball,B. Ingram,L. James,K. Kuzma,J. McGee
Memphis,M. Conley,G. Temple,K. Anderson,J. Jackson Jr.,M. Gasol
Miami,G. Dragic,R. McGruder,J. Richardson,K. Olynyk,H. Whiteside
Milwaukee,E. Bledsoe,M. Brogdon,K. Middleton,G. Antetokounmpo,B. Lopez
Minnesota,J. Teague,A. Wiggins,R. Covington,D. Saric,K. Towns
New Orleans,E. Payton,J. Holiday,E. Moore,N. Mirotic,A. Davis
New York,F. Ntilikina,D. Dotson,T. Hardaway Jr.,N. Vonleh,M. Robinson
Oklahoma City,R. Westbrook,T. Ferguson,P. George,J. Grant,S. Adams
Orlando,D. Augustin,E. Fournier,J. Isaac,A. Gordon,N. Vucevic
Philadelphia,B. Simmons,J. Redick,J. Butler,W. Chandler,J. Embiid
Phoenix,E. Okobo,D. Booker,T. Ariza,R. Anderson,D. Ayton
Portland,D. Lillard,C. McCollum,J. Layman,A. Aminu,J. Nurkic
Sacramento,D. Fox,I. Shumpert,B. Hield,N. Bjelica,W. Cauley-Stein
San Antonio,B. Forbes,D. DeRozan,R. Gay,L. Aldridge,P. Gasol
Toronto,K. Lowry,D. Green,K. Leonard,P. Siakam,S. Ibaka
Utah,R. Rubio,D. Mitchell,J. Ingles,D. Favors,R. Gobert
Washington,J. Wall,B. Beal,O. Porter Jr.,M. Morris,D. Howard
